,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1614,巴霍巴利王（上）：开端,7.2,25753326,1.0,['S·S·拉贾穆里'],"['维杰耶德拉·普拉萨德', 'S·S·拉贾穆里', 'C·H·维杰·库马尔', '阿贾·库马尔', '马德汉·卡尔基', '马努杰·芒塔希尔']","['帕拉巴斯', '拉纳·达格巴提', '特曼娜·芭蒂亚', '拉姆亚·克里希南', '安努舒卡·谢蒂']",剧情,2016-07-22(中国大陆),1072099,129
1615,恐怖爱情故事之死亡公路,2.7,26609224,0.9997849234770654,['鸿水'],['鸿水'],"['牟雨晨', '冯可', '高名扬', '魏鹏', '张溯哲']",悬疑,2016-07-22(中国大陆),1072099,88
1616,少年师爷之大禹宝藏,3.8,26647121,0.990881035903248,"['肖智慧', '陈凌超']","['肖智慧', '徐萍']","['施野', '苏越越', '钱贯', '丁丁']",喜剧,2016-07-22(中国大陆),893,87
1617,红色警戒999,5.7,6875396,1.0,['约翰·希尔寇特'],['马特·库克'],"['卡西·阿弗莱克', '切瓦特·埃加福特', '安东尼·麦凯', '亚伦·保尔', '小克利夫顿·克林斯']",剧情,2016-07-27(中国大陆),893,98
1618,封神传奇,2.9,25850122,0.016458115085857483,['许安'],"['张炭', '张志光', '孙子荣']","['李连杰', '范冰冰', '黄晓明', '杨颖', '古天乐']",剧情,2016-07-29(中国大陆),3323,109
1619,催命符之劫后重生,8.5,1298653,0.999996387919281,['罗伯特·泽米吉斯'],['小威廉·保尔斯'],"['汤姆·汉克斯', '海伦·亨特', '克里斯·诺斯', '尼克·西塞']",剧情,2000-12-22(美国),3323,143
1620,毒中毒,2.9,26803692,0.721054141644515,['崔志敏'],"['郑宁', '邹岱峰']","['孙海英', '杜双宇', '阎俊希', '盛石头', '刘长春']",喜剧,2016-07-29(中国大陆),660,93
1621,爱宠大机密,7.5,21817627,1.0,"['克里斯·雷纳德', '亚罗·切尼']","['辛科·保罗', '肯·道里欧', '布莱恩·林奇']","['路易·C·K', '艾瑞克·斯通斯崔特', '凯文·哈特', '艾丽·坎伯尔', '史蒂夫·库根']",喜剧,2016-08-02(中国大陆),660,87
1622,狼兵吼,2.7,26827878,0.017619560964916237,['张新武'],"['王勇', '张新武']","['刘德凯', '谢苗', '徐冬梅', '何云龙', '王侃']",动作,2016-08-03(中国大陆),519,90
1623,夏有乔木 雅望天堂,4.7,25843976,1.0,['赵真奎'],['籽月'],"['吴亦凡', '韩庚', '卢杉', '包贝尔', '周元']",爱情,2016-08-05(中国大陆),519,93
