,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average
127,听风者,6.8,6041191,0.9999998592306364,"['麦兆辉', '庄文强']","['麦兆辉', '庄文强', '麦家']","['梁朝伟', '周迅', '范晓萱', '王学兵', '董勇']",剧情,197424,120,2012,08,07,494.0,2556.0,9209.0,11795.0,-39.0,0.0,0.0,0.0,23220.0万,67237,680
128,吴仁宝,3.8,11627084,0.947243840660346,['徐耿'],"['唐宇', '徐耿']","['尤勇', '吴仁宝']",传记,14323,110,2012,10,12,673.0,15552.0,30660.0,315156.0,-535.0,-4520.0,-8018.0,-99537.0,1112.5万,1045,430
129,周恩来的四个昼夜,4.9,19994974,0.9999999995929628,['陈力'],"['田运章', '江月']","['孙维民', '何伟', '储智博', '牛犇', '郝岩']",剧情,7965,103,2013,07,16,875.0,2185.0,9327.0,11587.0,-4.0,0.0,0.0,0.0,5964.3万,333,197
131,命运派对,5.5,25758005,1.0,['何康'],"['何康', '罗佩清', '陈肇忠', '麦欣恩']","['黄贯中', '谢安琪', '关楚耀', '泰迪·罗宾', '刘浩龙']",剧情,43064,93,2013,11,28,786.0,70676.0,1088691.0,1411185.0,-443.0,-34209.0,-999801.0,-413599.0,76.2万,60,95
132,哺乳期的女人,6.0,19971593,1.0,"['杨亚洲', '杨博']","['刘彦武', '毕飞宇']","['余男', '陶泽如', '林浩', '邬君梅']",剧情,8359,91,2015,05,22,803.0,275325.0,1218368.0,1800591.0,-655.0,-235404.0,-1120899.0,-1464704.0,28.9万,519,255
133,唇唇欲动,4.1,20398974,0.999999999999907,['苏伦'],['冀楚忱'],"['华少', '李媛', '陈一娜', '刘雪涛', '敬子辰']",喜剧,641,90,2013,08,16,50.0,407.0,28810.0,1939.0,-19.0,-296.0,-6456.0,-915.0,33.5万,3038,782
135,四大名捕2,4.8,10604892,0.9999999992898768,"['陈嘉上', '秦小珍']","['陈嘉上', '陈淑贤', '王思敏', '谭广源', '吕冠南', '温瑞安']","['邓超', '刘亦菲', '邹兆龙', '郑中基', '黄秋生']",动作,22082,118,2013,12,06,818.0,8397.0,19148.0,68737.0,-553.0,-2692.0,-12342.0,-49572.0,17428.2万,126390,11340
136,回到爱开始的地方,6.3,20378794,1.0,['林孝谦'],"['罗诗', '吕安弦', '林孝谦']","['周渝民', '刘诗诗', '周一围', '刘芸', '张复建']",剧情,137,94,2013,08,23,952.0,6991.0,18859.0,7706.0,10.0,0.0,0.0,0.0,1108.7万,191,191
137,囧人之越挠越痒,3.7,10545947,0.009938182621576195,['李华彤'],['王靖'],"['高捷', '刘畊宏', '周晓鸥', '洪剑涛', '周楚濋']",剧情,83,89,2013,03,14,152335.0,13048.0,21288.0,38564.0,2.0,0.0,0.0,1.0,79.0万,2692,47
138,国徽,5.3,19965216,0.9999989235323676,['邢树民'],['郎云'],"['一真', '刘鉴', '宫晓瑄', '徐雷智', '曹蓬']",剧情,2648,90,2013,02,27,5.0,568.0,4962.0,3343.0,0.0,0.0,0.0,0.0,1.7万,-325,1785
140,圣杯神器：骸骨之城,5.4,4126925,0.9999999999875556,['哈罗德·兹瓦特'],"['杰西卡·波斯蒂戈', '卡珊德拉·克莱尔']","['莉莉·柯林斯', '杰米·坎贝尔·鲍尔', '凯文·席格斯', '杰迈玛·韦斯特', '罗伯特·席安']",动作,61477,130,2014,01,03,239.0,1591.0,737.0,24459.0,-169.0,-488.0,-43.0,-6518.0,2971.0万,1178,657
141,圣诞玫瑰,6.1,10600271,1.0,['杨采妮'],"['杨采妮', '吕冠南', '姚天朗', '梁维安']","['郭富城', '桂纶镁', '夏雨', '秦海璐', '张震']",剧情,23503,92,2013,05,24,24.0,104.0,509.0,216.0,-20.0,-74.0,-400.0,-66.0,2349.4万,7,280
142,圣龙奇兵大冒险,5.4,20515265,0.9999999827479326,"['乔彧', '马系海', '何钜宇']",['戴宾雅'],"['张页川', '张琳', '高全胜', '李团', '刘红韵']",动画,54406,85,2013,06,10,807.0,10852.0,3300.0,177196.0,-411.0,1145.0,452.0,-81055.0,571.3万,-42,164
143,在劫难逃,5.7,4308001,1.0,['约翰·辛格顿'],['肖恩·克里斯汀森'],"['泰勒·洛特纳', '莉莉·柯林斯', '阿尔弗雷德·莫里纳', '西格妮·韦弗', '迈克尔·恩奎斯特']",剧情,2280,106,2012,07,27,107.0,462.0,2092.0,924.0,-65.0,-130.0,-284.0,-608.0,35.7万,842,683
144,坚不可摧,6.8,10548265,1.0,['安吉丽娜·朱莉'],"['乔尔·科恩', '伊桑·科恩', '理查德·拉·格拉文斯', '威廉姆·尼克尔森', '劳拉·希伦布兰德']","['杰克·奥康奈尔', '多姆纳尔·格里森', '加内特·赫德兰', '杰·科特尼', '石原贵雅']",剧情,225,138,2015,01,30,414.0,13737.0,10227.0,64893.0,-206.0,0.0,0.0,0.0,3684.0万,1441,890
145,城市游戏,3.2,20284939,0.9999999986569374,"['鲍勃·布朗', '张鹏']",['鲍勃·布朗'],"['窦骁', '陈妍希', '释小龙', '叶青', '周韦彤']",动作,195,87,2014,05,16,15.0,2654.0,4029.0,1694.0,-6.0,-2517.0,-3630.0,-1185.0,327.2万,4624,755
146,复仇者联盟,8.0,1866479,1.0,['乔斯·韦登'],"['乔斯·韦登', '扎克·佩恩']","['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳']",动作,39147,142,2012,05,05,817.0,9861.0,6294.0,97904.0,-351.0,-2486.0,-238.0,-60398.0,56850.6万,184308,16814
148,夏日乐悠悠,6.2,6514105,0.9999999999982604,['马楚成'],"['马楚成', '王晋琦']","['彭于晏', '杨颖', '朱雨辰', '周扬', '何洁']",喜剧,52205,91,2011,09,30,105.0,4978.0,9688.0,891.0,-48.0,-4805.0,-9313.0,-783.0,436.3万,7816,1034
150,夜店诡谈,3.3,6110569,6.920410137045696e-05,['方亚熙'],['方亚熙'],"['范逸臣', '邓家佳', '周秀娜', '黄义达', '戚玉武']",惊悚,1095,90,2012,02,10,127.0,3940.0,11025.0,4106.0,-100.0,-3029.0,-9882.0,-2433.0,756.0万,8016,919
151,大丑,5.4,25933725,0.9999969765021872,['段青民'],['段青民'],"['樊军', '史美香', '许娜', '郭达']",剧情,21684,93,2014,08,28,28.0,1327.0,2144.0,6542.0,-13.0,-624.0,-1341.0,-5322.0,1.2万,31,326
152,大叔，我爱你,5.4,10827168,0.7354382659592164,['胡崇曦'],['吕娜'],"['张智霖', '付梦妮', '翁虹', '野营', '郭美孜']",喜剧,1943,105,2013,01,11,2.0,37.0,126.0,110.0,0.0,0.0,0.0,0.0,476.0万,-580,1040
153,大喜临门,5.3,26280561,0.9999999999933558,['黄朝亮'],"['李惠娟', '周元姣', '黄朝亮']","['猪哥亮', '林心如', '李东学', '寇世勋', '林美秀']",喜剧,91923,104,2015,03,06,853.0,2257.0,158400.0,15654.0,-215.0,0.0,0.0,0.0,777.1万,3879,831
154,大峰祖师,5.4,25700831,1.0,['张蠡'],"['阮仕林', '廖奕文']","['许还山', '俞灏明', '安贞京', '蒋恺', '隋咏良']",剧情,1050,102,2014,09,05,572.0,43632.0,157964.0,53771.0,-114.0,0.0,0.0,0.0,48.6万,607,420
155,大明劫,7.8,11627068,1.0,['王竞'],"['谢晓东', '周荣扬']","['冯远征', '戴立忍', '冯波', '杨旸', '钱学格']",剧情,13591,109,2013,10,25,10.0,365.0,1148.0,856.0,-3.0,-1.0,-27.0,-18.0,452.9万,5691,540
156,大明猩,5.4,5919333,0.999999966760533,['金容华'],['金容华'],"['徐娇', '成东日', '金康宇', '金应洙', '边熙峰']",剧情,7965,135,2013,07,18,107.0,6892.0,14639.0,19686.0,-56.0,-2734.0,-11034.0,-10441.0,11281.6万,46382,168
157,大武生,5.2,5355187,0.9999999999999728,['高晓松'],"['邹静之', '高晓松']","['吴尊', '韩庚', '徐熙媛', '元彪', '伊能静']",剧情,306,108,2011,09,09,133.0,2913.0,44951.0,926.0,-87.0,-1261.0,-39971.0,-497.0,4268.1万,34988,373
158,大片,4.7,23127631,0.946570649920768,['向飞'],['向飞'],"['吴孟达', '于谦', '刘芸', '王宁', '向飞']",剧情,54406,100,2013,06,11,684.0,23729.0,17363.0,443434.0,-431.0,-8762.0,-2437.0,-314462.0,352.3万,5275,2120
159,大碗茶,7.5,10738246,0.9999999999470128,['潘镜丞'],['马泉来'],"['张双利', '石小满', '谢联']",剧情,2347,93,2012,05,08,133.0,1253.0,3691.0,8211.0,2.0,320.0,563.0,1705.0,21.1万,109,332
160,大话天仙,3.0,4913222,0.02114700407473213,['刘镇伟'],['刘镇伟'],"['孙俪', '郑中基', '郑伊健', '方力申', '郭德纲']",喜剧,5686,91,2014,02,02,852.0,19490.0,50504.0,122856.0,10.0,0.0,0.0,0.0,2962.4万,15930,2433
161,大野狼和小绵羊的爱情,6.6,10467779,0.9999999999054976,['侯季然'],"['侯季然', '杨元铃', '何昕明']","['柯震东', '简嫚书', '郭书瑶', '陆廷威', '谢欣颖']",剧情,19393,86,2013,04,28,859.0,116101.0,139377.0,1415598.0,-35.0,0.0,0.0,0.0,79.4万,24,150
