,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1073,忘了去懂你,6.5,10807892,1.0,['权聆'],['权聆'],"['陶虹', '郭晓东', '王紫逸', '张一白']",剧情,37484,89,2014,08,29,817.0,482.0,925.0,1440.0,-119.0,0.0,0.0,0.0
1074,猩球崛起：黎明之战,7.5,7046723,0.9999999999999948,['马特·里夫斯'],"['马克·鲍姆贝克', '里克·杰法', '阿曼达·斯尔沃', '皮埃尔·布尔']","['安迪·瑟金斯', '杰森·克拉克', '加里·奥德曼', '凯丽·拉塞尔', '托比·凯贝尔']",剧情,37484,130,2014,08,29,867.0,55792.0,71519.0,338146.0,1.0,0.0,0.0,0.0
1075,青春.com,2.4,25942190,0.9999999999986352,['马雍'],['潘富荣'],"['古丽娜', '曲国强', '孙夕尧', '严萌', '陶玉洁']",剧情,62866,90,2014,08,29,81.0,1953.0,11635.0,17825.0,-66.0,-1120.0,-9577.0,-2435.0
1076,动物也疯狂,5.9,3103708,0.9999999970738428,['尼基尔·阿德瓦尼'],"['尼基尔·阿德瓦尼', '拉胡尔·阿瓦特', '吉里什·达米贾', '苏雷什·奈尔', '米拉帕·扎韦里']","['加利·艾尔维斯', '克里斯托弗·洛伊德', '特罗伊·贝克', '凡妮莎·威廉斯', '简·林奇']",动画,62866,97,2014,09,05,19.0,538.0,1319.0,2278.0,0.0,0.0,0.0,0.0
1077,大峰祖师,5.4,25700831,1.0,['张蠡'],"['阮仕林', '廖奕文']","['许还山', '俞灏明', '安贞京', '蒋恺', '隋咏良']",剧情,1050,102,2014,09,05,572.0,43632.0,157964.0,53771.0,-114.0,0.0,0.0,0.0
1078,摩登森林之美食总动员,2.8,25960739,0.987774583066494,['舒展'],"['孙征', '舒展']","['冯骏骅', '倪春佳', '杨鸥', '刘宇轩', '沈达威']",喜剧,1050,89,2014,09,05,119.0,2914.0,2960.0,48727.0,-76.0,-525.0,-668.0,-2753.0
1079,分歧者：异类觉醒,6.4,6424814,0.9999999999999992,['尼尔·博格'],"['埃文·达赫迪', '瓦内莎·泰勒']","['谢琳·伍德蕾', '提奥·詹姆斯', '艾什莉·贾德', '杰·科特尼', '雷·史蒂文森']",动作,68103,140,2014,09,08,236.0,5028.0,460996.0,7660.0,-98.0,-375.0,-1648.0,-1055.0
1081,美女与野兽,7.2,25900945,1.0,['比尔·康顿'],"['斯蒂芬·卓博斯基', '埃文·斯彼里奥托普洛斯', '琳达·伍尔芙顿', '珍妮-玛丽·勒普兰斯·德博蒙']","['艾玛·沃森', '丹·史蒂文斯', '卢克·伊万斯', '凯文·克莱恩', '乔什·加德']",爱情,187326,129,2017,03,17,16.0,1273.0,375.0,3439.0,-3.0,-79.0,-20.0,-542.0
1082,0.5的爱情,4.4,25746519,1.0,['邢潇'],"['白铭健', '邢潇', '苏芸萌']","['蒲巴甲', '江语晨', '李悦铭', '龚洁']",爱情,187326,85,2014,09,12,57.0,10102.0,11985.0,10759.0,-19.0,0.0,0.0,0.0
1083,森林孤影,3.3,25897421,0.001570120960061705,['杨振豪'],"['张艺耀', '啊张', '才博']","['刘子漫', '胡天阳', '常海波', '程耀辉']",剧情,136177,90,2014,09,12,33.0,4965.0,8641.0,11525.0,-15.0,-4739.0,-8449.0,-10910.0
1084,从哪来，到哪去,5.8,24521773,0.998301468227402,['吴琴'],['吴琴'],"['侯长荣', '周柏臻', '石峯', '许清宇', '赵东尧']",喜剧,136177,95,2014,09,16,17.0,7579.0,8320.0,16791.0,-7.0,152.0,-19.0,-8.0
1085,死亡派对,5.9,21941106,1.0,['解航'],['解航'],"['袁咏仪', '高圣远', '熊乃瑾', '张籽沐']",剧情,11310,86,2014,09,19,919.0,744.0,701.0,6629.0,-1.0,0.0,0.0,0.0
1086,缘来是游戏,4.0,25758705,0.9998174207131936,['陈勋奇'],"['陈勋奇', '周小飞', '黄肖英']","['孙坚', '林芮西', '马国明', '雨书', '陈勋奇']",喜剧,11310,109,2014,09,19,968.0,21496.0,43273.0,69128.0,0.0,0.0,0.0,0.0
1087,诡八楼,2.6,25856457,0.9997307683916026,['张力'],['张力'],"['包小柏', '倪景阳', '常乐', '大庆', '林鹏']",悬疑,97,88,2014,09,19,824.0,58489.0,203838.0,431790.0,-2.0,-28853.0,-161637.0,-186967.0
1088,亲爱的,8.3,25798222,1.0,['陈可辛'],['张冀'],"['赵薇', '黄渤', '佟大为', '郝蕾', '张译']",剧情,97,130,2014,09,25,834.0,1831.0,564.0,1644.0,-154.0,0.0,0.0,0.0
1089,心花路放,7.0,25717233,1.0,['宁浩'],"['岳小军', '邢爱娜', '孙小杭', '董润年', '章笛沙', '张艺凡']","['黄渤', '徐峥', '袁泉', '周冬雨', '陶慧']",喜剧,3611,118,2014,09,30,6.0,24.0,107.0,35.0,-2.0,-18.0,-70.0,-16.0
1090,痞子英雄：黎明升起,8.5,3395373,1.0,['克里斯托弗·诺兰'],"['大卫·S·高耶', '乔纳森·诺兰', '克里斯托弗·诺兰']","['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚']",剧情,3611,165,2012,08,27,868.0,7540.0,5476.0,127128.0,0.0,0.0,0.0,0.0
1091,魁拔Ⅲ战神崛起,8.0,24723061,1.0,"['王川', '张钢', '周洁']","['王鹏展', '王川']","['刘婧荦', '姚姝', '王宇腾', '杨晨', '刘校妤']",动作,1921,90,2014,10,01,838.0,28693.0,69912.0,329563.0,-308.0,0.0,0.0,0.0
1092,81号农场之疯狂的麦咭,4.3,25926925,0.999888256344842,['徐克'],['徐克'],"['沈达威', '冯骏骅', '醋醋', '刘雨轩', '杨梦露']",喜剧,1921,80,2014,10,01,812.0,44001.0,66489.0,511921.0,-259.0,-10123.0,-17328.0,-39966.0
1093,十二生肖城市英雄,3.6,25981387,0.0015741726547829904,['葛海涛'],"['葛海涛', '何闯']","['苏倩云', '丁润琦', '王琰', '解丽丽']",喜剧,988,80,2014,10,03,803.0,27618.0,992919.0,51407.0,-605.0,-25778.0,-985637.0,-45253.0
1094,3D食人虫,3.1,25958914,0.9999995227560016,['严嘉'],"['夏梓桐', '张梓琳', '王传君', '丁春诚']",[],科幻,988,82,2014,10,10,858.0,2158.0,1358.0,9433.0,-2.0,0.0,0.0,0.0
1096,争气,7.7,25912967,1.0,['杨紫烨'],"['Tabitha Chan', 'Wing Wing Chan', 'Jason Chow', 'Calvin Chu', 'Emily Chung', 'Nick Ho', 'Ho Yin Hui', 'Ken Kwan', 'Jessica Kwok', 'Sio Fan Lam', 'Tsz Nok Lin', 'Coby Wong']",[],纪录片,4136,91,2014,10,16,868.0,2325.0,13890.0,19871.0,-9.0,0.0,0.0,0.0
1097,毕业那年：分手季,3.4,25806660,0.9978296554386272,['姚宇'],"['黄广生', '源子夫', '姚宇']","['顾莉雅', '魏伊', '许凝', '章小军', '吉飞龙']",剧情,4993,91,2014,10,17,187.0,1747.0,9849.0,3768.0,-39.0,-398.0,-1284.0,-10.0
1098,蓝色骨头,6.7,4842877,1.0,['崔健'],['崔健'],"['赵有亮', '倪虹洁', '尹昉', '黄轩', '黄幻']",剧情,4993,100,2014,10,17,2.0,0.0,0.0,1.0,2.0,46.0,27.0,51.0
1099,等一个人咖啡,6.0,25753166,1.0,['江金霖'],['九把刀'],"['宋芸桦', '禾浩辰', '赖雅妍', '蓝心湄', '李罗']",喜剧,603,119,2014,10,17,80.0,3587.0,12193.0,26730.0,-49.0,-2026.0,-1766.0,-3018.0
1100,宙斯之子：赫拉克勒斯,5.9,3157583,0.9999999992621916,['布莱特·拉特纳'],"['莱恩·康道尔', '埃文·斯彼里奥托普洛斯', '史蒂夫·摩尔']","['道恩·强森', '伊恩·麦柯肖恩', '约翰·赫特', '卢夫斯·塞维尔', '阿卡塞尔·亨涅']",动作,603,101,2014,10,21,636.0,10223.0,6960.0,201455.0,-156.0,-3385.0,397.0,-66159.0
1101,飞鱼秀,8.4,24743705,1.0,['孙虹'],['雷建军'],"['小飞', '喻舟']",纪录片,24778,78,2014,10,23,4.0,117.0,197.0,384.0,-1.0,-2.0,-9.0,-10.0
1102,大话西游之月光宝盒,8.9,1299398,0.9999999963511316,['刘镇伟'],"['刘镇伟', '吴承恩']","['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚']",喜剧,24778,87,2014,10,24,207.0,2395.0,11741.0,8257.0,-29.0,0.0,0.0,0.0
1103,剑河,4.1,25762268,0.3852494900390308,['陶盟喜'],"['潘洪波', '陶盟喜', '戚七奇']","['梁小龙', '李炳渊', '陈之辉', '崔煜林', '高利虹']",剧情,282,92,2014,10,24,686.0,13466.0,12828.0,47105.0,-32.0,0.0,0.0,0.0
1104,狙击时刻,4.2,25962762,0.9931394604739664,['杨江'],"['杨江', '王方']","['宋洋', '杨钧承', '王仲欣', '梦丽', '马东延']",动作,282,86,2014,10,24,313.0,7803.0,15905.0,83987.0,-250.0,-4600.0,-14948.0,-71268.0
1105,夜莺,6.4,19962587,1.0,['费利普·弥勒'],"['费利普·弥勒', '宁宁']","['李保田', '杨心仪', '李小冉', '秦昊']",剧情,4544,92,2014,10,31,73.0,2139.0,3258.0,26597.0,-46.0,-1782.0,-2842.0,-24585.0
1106,一个人的武林,6.2,24695277,0.9999999968830012,['陈德森'],"['刘浩良', '麦天枢', '陈德森']","['甄子丹', '王宝强', '杨采妮', '白冰', '方中信']",动作,4544,100,2014,10,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,全城通缉,4.5,25849599,0.9681830707113648,['汪涛'],"['陈渐', '李文']","['刘烨', '赵文卓', '秋瓷炫', '古力娜扎', '薛皓文']",剧情,102,104,2014,11,06,905.0,4567.0,2705.0,6900.0,-5.0,0.0,0.0,0.0
1108,潜龙风云,5.5,25810920,0.5146312249611956,['李保樟'],"['李保樟', '贺鑫']","['蔡卓妍', '黄秋生', '黄又南', '陈惠敏', '吴志雄']",剧情,102,100,2014,11,07,894.0,10190.0,38441.0,117178.0,0.0,0.0,0.0,0.0
